utterance,focus_type,speaker,onglide_log,onglide
43,broad,JP_96,0.496929648,2.14
45,narrow,JP_96,-0.759667845,-4.75
46,broad,JP_96,-0.57863921,-2.79
48,narrow,JP_96,0.451786436,1.83
49,contrastive,JP_96,-0.383815366,-1.42
52,broad,JP_96,-0.501059262,-2.17
53,narrow,JP_96,0.320146286,1.09
55,contrastive,JP_96,-0.394451681,-1.48
56,broad,JP_96,0.480006943,2.02
58,narrow,JP_96,0.471291711,1.96
60,contrastive,JP_96,-0.374748346,-1.37
61,broad,JP_96,0.396199347,1.49
62,narrow,JP_96,-0.503790683,-2.19
63,broad,JP_96,-0.465382851,-1.92
65,contrastive,JP_96,-0.354108439,-1.26
67,narrow,JP_96,-0.462397998,-1.9
68,broad,JP_96,-0.434568904,-1.72
70,broad,JP_96,-0.589949601,-2.89
71,contrastive,JP_96,-0.562292864,-2.65
73,contrastive,JP_96,0.235528447,0.72
74,narrow,JP_96,-0.571708832,-2.73
75,broad,JP_96,-0.627365857,-3.24
76,contrastive,JP_96,-0.584331224,-2.84
77,broad,JP_96,-0.745855195,-4.57
78,contrastive,JP_96,-0.477121255,-2
79,narrow,JP_96,-0.668385917,-3.66
80,broad,JP_96,-0.587710965,-2.87
82,broad,JP_96,0.328379603,1.13
83,narrow,JP_96,-0.521138084,-2.32
84,broad,JP_96,-0.606381365,-3.04
85,broad,JP_96,-0.511883361,-2.25
88,contrastive,JP_96,-0.489958479,-2.09
90,narrow,JP_96,-0.342422681,-1.2
91,contrastive,JP_96,0.326335861,1.12
92,contrastive,JP_96,0.459392488,1.88
93,broad,JP_96,-0.606381365,-3.04
94,narrow,JP_96,-0.545307116,-2.51
95,broad,JP_96,-0.580924976,-2.81
96,broad,JP_96,-0.496929648,-2.14
98,contrastive,JP_96,0.301029996,1
99,narrow,JP_96,-0.602059991,-3
22,broad,JZ_98,0.184691431,0.53
24,broad,JZ_98,0.152288344,0.42
25,narrow,JZ_98,0.274157849,0.88
27,broad,JZ_98,0.225309282,0.68
29,contrastive,JZ_98,0.257678575,0.81
30,narrow,JZ_98,0.201397124,0.59
31,narrow,JZ_98,0.206825876,0.61
32,broad,JZ_98,0.255272505,0.8
33,contrastive,JZ_98,0.06069784,0.15
34,contrastive,JZ_98,0.152288344,0.42
36,broad,JZ_98,0.267171728,0.85
38,narrow,JZ_98,NA,NA
40,narrow,JZ_98,0.113943352,0.3
41,contrastive,JZ_98,0.214843848,0.64
43,broad,JZ_98,0.212187604,0.63
44,narrow,JZ_98,0.230448921,0.7
45,contrastive,JZ_98,0.250420002,0.78
46,broad,JZ_98,0.340444115,1.19
47,broad,JZ_98,NA,NA
49,contrastive,JZ_98,0.204119983,0.6
50,broad,JZ_98,0.139879086,0.38
53,narrow,JZ_98,0.303196057,1.01
56,contrastive,JZ_98,0.123851641,0.33
58,narrow,JZ_98,0.204119983,0.6
59,broad,JZ_98,0.250420002,0.78
60,narrow,JZ_98,0.340444115,1.19
61,broad,JZ_98,0.545307116,2.51
62,narrow,JZ_98,NA,NA
63,contrastive,JZ_98,0.187520721,0.54
64,broad,JZ_98,0.127104798,0.34
66,contrastive,JZ_98,0.227886705,0.69
67,broad,JZ_98,0.193124598,0.56
68,contrastive,JZ_98,0.206825876,0.61
69,narrow,JZ_98,0.181843588,0.52
71,narrow,JZ_98,0.173186268,0.49
72,narrow,JZ_98,0.206825876,0.61
73,contrastive,JZ_98,0.267171728,0.85
75,contrastive,JZ_98,NA,NA
76,broad,JZ_98,NA,NA
77,contrastive,JZ_98,NA,NA
78,narrow,JZ_98,0.421603927,1.64
79,contrastive,JZ_98,0.146128036,0.4
80,narrow,JZ_98,0.167317335,0.47
81,contrastive,JZ_98,NA,NA
82,narrow,JZ_98,0.209515015,0.62
83,narrow,JZ_98,0.252853031,0.79
84,contrastive,JZ_98,0.290034611,0.95
85,broad,JZ_98,0.127104798,0.34
